,pref,city,town,other,lon_min,lat_min,lon_max,lat_max
5287,北海道,札幌市手稲区,前田一条９丁目,,141.24844924367096,43.116413765766765,141.25205289143474,43.119029465041535
5288,北海道,札幌市手稲区,前田一条１０丁目,,141.2453162401605,43.11758110727355,141.25014961388257,43.12070574983335
5289,北海道,札幌市手稲区,前田一条１１丁目,,141.24284173462414,43.11944818894306,141.24785020444958,43.12255808039472
5290,北海道,札幌市手稲区,前田一条１２丁目,,141.24188697954173,43.1209244510828,141.24591957437704,43.12500207968277
5291,北海道,札幌市手稲区,前田二条１丁目,,141.26577957288853,43.109164274397465,141.26648642223543,43.11004050199271
5292,北海道,札幌市手稲区,前田二条２丁目,,141.26412216447034,43.10942867745352,141.2664720568077,43.111696328632
5293,北海道,札幌市手稲区,前田二条３丁目,,141.26167446154963,43.11043785040945,141.26552356756636,43.11320189952389
5294,北海道,札幌市手稲区,前田二条４丁目,,141.25926773618122,43.11202017287842,141.26374626329465,43.11535286020893
5295,北海道,札幌市手稲区,前田二条７丁目,,141.25363933357337,43.115641021221634,141.25692918872022,43.11790872185839
5296,北海道,札幌市手稲区,前田二条８丁目,,141.25205289143474,43.116928547855444,141.25521836106708,43.118946363576455
5297,北海道,札幌市手稲区,前田二条９丁目,,141.24913930664945,43.11790933212001,141.25322066638319,43.120207517476956
5298,北海道,札幌市手稲区,前田二条１０丁目,,141.24695402442347,43.119532077686095,141.25217430636718,43.12227203151679
5299,北海道,札幌市手稲区,前田二条１１丁目,,141.2455601589296,43.12134479056503,141.2498329280694,43.124060533451164
5300,北海道,札幌市手稲区,前田二条１２丁目,,141.24319718329176,43.1228131046382,141.24760002150967,43.12568591736873
5301,北海道,札幌市手稲区,前田二条１３丁目,,141.24183225523376,43.12419582848813,141.24463316222958,43.127176585984444
5302,北海道,札幌市手稲区,前田三条３丁目,,141.2631250944221,43.1110968297723,141.26644691750468,43.11627761701937
5303,北海道,札幌市手稲区,前田三条４丁目,,141.26121098599077,43.11374814275602,141.2650088969,43.11641969159344
5304,北海道,札幌市手稲区,前田三条７丁目,,141.25521836106708,43.11667128755938,141.25840538440838,43.119372324982756
5305,北海道,札幌市手稲区,前田三条８丁目,,141.25322066638319,43.11790872185839,141.25609290085012,43.12024435112838
5306,北海道,札幌市手稲区,前田三条９丁目,,141.25114667549252,43.118946363576455,141.25467687292976,43.12094679857844
5307,北海道,札幌市手稲区,前田三条１０丁目,,141.2490679520162,43.12052908312366,141.25348745112902,43.12286982440944
5308,北海道,札幌市手稲区,前田四条４丁目,,141.2624941751407,43.11487046905335,141.26609747062517,43.11756631850767
5309,北海道,札幌市手稲区,前田四条５丁目,,141.26074780764114,43.11641969159344,141.26387415443716,43.118634678475054
5310,北海道,札幌市手稲区,前田四条６丁目,,141.2590578223743,43.117487063310854,141.26210942375718,43.11969039320197
5311,北海道,札幌市手稲区,前田四条７丁目,,141.25609290085012,43.11797052099115,141.2603975242146,43.12093627002169
5312,北海道,札幌市手稲区,前田四条８丁目,,141.25348745112902,43.119372324982756,141.2575842198411,43.122001266904725
5313,北海道,札幌市手稲区,前田四条９丁目,,141.25183563418437,43.12094679857844,141.2569499621307,43.12374495922792
5314,北海道,札幌市手稲区,前田四条１０丁目,,141.2498329280694,43.121801758751985,141.25442415460392,43.12497305106753
5315,北海道,札幌市手稲区,前田四条１１丁目,,141.2477704560684,43.12286982440944,141.25160168644865,43.12535523490598
5316,北海道,札幌市手稲区,前田四条１２丁目,,141.24591658752115,43.1239717214782,141.24959790806747,43.12634034895668
